Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment
29,PMR10,446.118750,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 10
30,PMR11,446.131250,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 11
31,PMR12,446.143750,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 12
32,PMR13,446.156250,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 13
33,PMR14,446.168750,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 14
34,PMR15,446.181250,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 15
35,PMR16,446.193750,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 16
36,CB01,26.965000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 1
37,CB02,26.975000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 2
38,CB03,26.985000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 3
39,CB04,27.005000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 4
40,CB05,27.015000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 5
41,CB06,27.025000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 6
42,CB07,27.035000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 7
