Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment
124,CB07,27.035000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 7
125,CB08,27.055000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 8
126,CB09,27.065000,off,0.000000,,88.5,88.5,023,NN,AM,10.00,S,Escuta - CB27 canal 9 (emergência histórica)
127,CB10,27.075000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 10
128,CB11,27.085000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 11
129,CB12,27.105000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 12
130,CB13,27.115000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 13
131,CB14,27.125000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 14
132,CB15,27.135000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 15
133,CB16,27.155000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 16
134,CB17,27.165000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 17
135,CB18,27.175000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 18
136,CB19,27.185000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 19
137,CB20,27.205000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 20
138,CB21,27.215000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 21
139,CB22,27.225000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 22
140,CB23,27.255000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 23
141,CB24,27.235000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 24
142,CB25,27.245000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 25
143,CB26,27.265000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 26
144,CB27,27.275000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 27
145,CB28,27.285000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 28
146,CB29,27.295000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 29
147,CB30,27.305000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 30
148,CB31,27.315000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 31
149,CB32,27.325000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 32
150,CB33,27.335000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 33
151,CB34,27.345000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 34
152,CB35,27.355000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 35
153,CB36,27.365000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 36
154,CB37,27.375000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 37
155,CB38,27.385000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 38
156,CB39,27.395000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 39
157,CB40,27.405000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 40
